category_code	category_label	sample_case_ref	case_title	review_kind_now	review_owner_now	jurisdictions	languages	record_status	evidence_tier	current_authority_signal	document_grade_signal_now	strongest_document_depth_now	document_depth_statuses_now	authoritative_source_count_now	issuing_bodies_now	source_types_now	authority_source_urls_now	framework_anchor_profile_now	claim_ceiling_bucket_now	document_depth_interpretation_now	case_specific_review_reason_now	next_stronger_source_needed_now	linked_review_queue_ids	paper_use_now	updated_at
agentic_control_failure	Agentic control failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_cve_record_text_present	public_cve_record_text_present	1	CVE Program	public vulnerability record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	nist	mixed_authority_context_insufficient	Local package already contains direct public CVE record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	This record supports a technical-security observation only; it does not by itself establish observed exploitation in the wild.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	2026-06-08T12:57:42+02:00
agentic_control_failure	Agentic control failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_reviewed_advisory_plus_vulnerability_record_text_present	public_reviewed_advisory_text_present; public_vulnerability_record_text_present; public_vulnerability_record_api_text_present	3	GitHub Advisory Database; CVE Program; OSV	platform security advisory API; public vulnerability record; public vulnerability-record API	https://api.github.com/advisories/GHSA-qg33-x2c5-6p44; https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2024/37xxx/CVE-2024-37014.json; https://api.osv.dev/v1/vulns/CVE-2024-37014	nist	mixed_authority_context_insufficient	Local package already contains direct public reviewed-advisory and vulnerability-record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	Use the reviewed GitHub advisory plus CVE/OSV chain for bounded control-failure and fixed-version wording only; do not treat the advisory chain as proof of realized exploitation, deployment context, or duty-holder-specific breach.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	2026-06-08T17:51:42Z
agentic_control_failure	Agentic control failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_cve_record_text_present	public_cve_record_text_present	1	CVE Program	public vulnerability record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2025/55xxx/CVE-2025-55284.json	nist	mixed_authority_context_insufficient	Local package already contains direct public CVE record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	This supports a bounded argument that human-approval models for agent tools can fail through allowlist design.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	2026-06-08T12:57:42+02:00
agentic_control_failure	Agentic control failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_vulnerability_record_plus_vendor_release_note	public_vulnerability_record_text_present; vendor_release_note_text_present	2	National Vulnerability Database; Microsoft	public vulnerability record; public vendor release note	https://nvd.nist.gov/vuln/detail/CVE-2025-9611; https://github.com/microsoft/playwright-mcp/releases/tag/v0.0.40	nist	mixed_authority_context_insufficient	Local package already contains a public vulnerability record plus a vendor release-note remediation surface for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	2026-06-08T12:57:42+02:00
deepfake_or_synthetic_identity	Deepfake or synthetic identity	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	lawyer/regulator plus language review	Lawyer/source-authority review	Finland	fi	candidate	T1_single_public_source	medium	no_local_authority_refs_in_case_board_row	none	none	0	none	none	none	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	This sampled row currently depends on non-authoritative or translation-mediated public reporting without local authoritative source IDs in the case board.	Public Kaleva article shell now supports a narrow claim that a dated regional-news article exists about a police-investigation-framed AI-modified intimate-image abuse case in Finland and that visible preview text on the article page itself names several women as injured parties/victims, one middle-aged male suspect, suspicion-stage offense framing, and six crime reports; full-body chronology, exact locality naming, adjudication, and legal interpretation remain unverified.	Use the preview-text-visible direct article shell for bounded route-state and suspicion-stage framing now; seek one clearly matching public police/document companion or fuller readable public surface before any publication-bucket promotion.	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	2026-06-08T12:57:42+02:00
institutional_absurdity	Institutional absurdity	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	language-aware source-authority review	Mixed human review	Finland	fi	candidate	T1_single_public_source	medium_high	no_local_authority_refs_in_case_board_row	none	none	0	none	none	none	unesco	non_authoritative_public_reporting_only	This sampled row currently depends on non-authoritative or translation-mediated public reporting without local authoritative source IDs in the case board.	Direct Yle article text now supports a narrow claim that AI-assisted administrative appeals have been noticed in Internal Finland Police and the Eastern Finland Administrative Court, with some filings reportedly containing fabricated case references or distorted legal support; broader prevalence, intent, and legal-system-impact claims still need stronger official corroboration and human review.	Look for an official Finnish police, court, or ministry statement on AI-assisted administrative appeals; otherwise keep this as a direct-source-resolved broadcaster row with translation caution.	LQ-001; LQ-004; LQ-009	Public-sector absurdity typology and dashboard filter	2026-06-08T12:57:42+02:00
legal_procedural_contamination	Legal/procedural contamination	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	lawyer/regulator plus language review	Lawyer/institutional-process review	Finland	fi	candidate	T1_single_public_source	medium_high	no_local_authority_refs_in_case_board_row	none	none	0	none	none	none	nist+oecd	mixed_authority_context_insufficient	This sampled row currently depends on non-authoritative or translation-mediated public reporting without local authoritative source IDs in the case board.	Direct Yle article text now supports a narrow claim that AI-assisted administrative appeals have been noticed in Internal Finland Police and the Eastern Finland Administrative Court, with some filings reportedly containing fabricated case references or distorted legal support; broader prevalence, intent, and legal-system-impact claims still need stronger official corroboration and human review.	Look for an official Finnish police, court, or ministry statement on AI-assisted administrative appeals; otherwise keep this as a direct-source-resolved broadcaster row with translation caution.	LQ-007	Process-contamination typology for justice/admin case tables	2026-06-08T12:57:42+02:00
normative_or_moral_outlier	Normative or moral outlier	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	language-aware source-authority review	Mixed human review	Finland	fi	candidate	T1_single_public_source	medium	no_local_authority_refs_in_case_board_row	none	none	0	none	none	none	oecd	mixed_authority_context_insufficient	This sampled row currently depends on non-authoritative or translation-mediated public reporting without local authoritative source IDs in the case board.	Public Kaleva article shell now supports a narrow claim that a dated regional-news article exists about a police-investigation-framed AI-modified intimate-image abuse case in Finland and that visible preview text on the article page itself names several women as injured parties/victims, one middle-aged male suspect, suspicion-stage offense framing, and six crime reports; full-body chronology, exact locality naming, adjudication, and legal interpretation remain unverified.	Use the preview-text-visible direct article shell for bounded route-state and suspicion-stage framing now; seek one clearly matching public police/document companion or fuller readable public surface before any publication-bucket promotion.	LQ-009	Normative-anomaly gallery with explicit uncertainty coding	2026-06-08T12:57:42+02:00
normative_or_moral_outlier	Normative or moral outlier	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	language-aware source-authority review	Mixed human review	Slovenia	sl	candidate	T3_authoritative_source_direct_url_resolved	high	official_companion_pair_only	official_police_project_page_text_present	official_police_project_page_text_present; same_family_official_companion_page_text_present	2	Policija (Slovenian Police)	official police project page; same-family official police companion page	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4?tmpl=component&print=1; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-3?tmpl=component&print=1	oecd	mixed_authority_context_insufficient	Local package already contains an official multi-surface companion chain for this sampled case, but it remains below document-grade enforcement/court depth and category-level review still needs narrower actor-role, applicability, or deployment-context interpretation.	Two direct official Slovenian police project pages now support narrow claims about ORION's stated AI-assisted border-management purpose, privacy-preserving and encrypted-biometric framing, pilot-scenario testing in Romania, Bulgaria, and Slovenia, named consortium/funding context, and adjacent programme-governance detail from a same-family companion page; stronger deployment, legality, procurement, proportionality, and effectiveness interpretation still needs a row-specific procurement/register/technical companion and human review.	Look for one ORION-specific procurement/register/technical or partner-side project companion; otherwise keep this as same-family official-depth hardening below deployment proof.	LQ-009	Normative-anomaly gallery with explicit uncertainty coding	2026-06-08T12:57:42+02:00
security_risk	Security risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_cve_record_text_present	public_cve_record_text_present	1	CVE Program	public vulnerability record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	nist	mixed_authority_context_insufficient	Local package already contains direct public CVE record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	This record supports a technical-security observation only; it does not by itself establish observed exploitation in the wild.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	LQ-006	Security-to-governance edge list for graph/table views	2026-06-08T12:57:42+02:00
security_risk	Security risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_reviewed_advisory_plus_vulnerability_record_text_present	public_reviewed_advisory_text_present; public_vulnerability_record_text_present; public_vulnerability_record_api_text_present	3	GitHub Advisory Database; CVE Program; OSV	platform security advisory API; public vulnerability record; public vulnerability-record API	https://api.github.com/advisories/GHSA-qg33-x2c5-6p44; https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2024/37xxx/CVE-2024-37014.json; https://api.osv.dev/v1/vulns/CVE-2024-37014	nist	mixed_authority_context_insufficient	Local package already contains direct public reviewed-advisory and vulnerability-record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	Use the reviewed GitHub advisory plus CVE/OSV chain for bounded hazard and fixed-version wording only; do not treat the advisory chain as proof of realized exploitation, deployment context, or reportable-incident status.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	LQ-006	Security-to-governance edge list for graph/table views	2026-06-08T17:51:42Z
security_risk	Security risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_cve_record_text_present	public_cve_record_text_present	1	CVE Program	public vulnerability record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2025/55xxx/CVE-2025-55284.json	nist	mixed_authority_context_insufficient	Local package already contains direct public CVE record text for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	This supports a bounded argument that human-approval models for agent tools can fail through allowlist design.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	LQ-006	Security-to-governance edge list for graph/table views	2026-06-08T12:57:42+02:00
security_risk	Security risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	source-authority/postmortem review	Technical + legal review	Global	English	authoritative	T3_authoritative_source	authoritative	authority_summary_only	public_vulnerability_record_plus_vendor_release_note	public_vulnerability_record_text_present; vendor_release_note_text_present	2	National Vulnerability Database; Microsoft	public vulnerability record; public vendor release note	https://nvd.nist.gov/vuln/detail/CVE-2025-9611; https://github.com/microsoft/playwright-mcp/releases/tag/v0.0.40	nist	mixed_authority_context_insufficient	Local package already contains a public vulnerability record plus a vendor release-note remediation surface for this sampled row, but stronger legal prose still needs provider/deployer postmortem or deployment-context material.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	LQ-006	Security-to-governance edge list for graph/table views	2026-06-08T12:57:42+02:00
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	lawyer/regulator plus language review	Lawyer/regulator review	Slovenia	sl	candidate	T3_authoritative_source_direct_url_resolved	high	official_companion_pair_only	official_police_project_page_text_present	official_police_project_page_text_present; same_family_official_companion_page_text_present	2	Policija (Slovenian Police)	official police project page; same-family official police companion page	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4?tmpl=component&print=1; https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-3?tmpl=component&print=1	oecd	authority_led_but_context_insufficient	Local package already contains an official multi-surface companion chain for this sampled case, but it remains below document-grade enforcement/court depth and category-level review still needs narrower actor-role, applicability, or deployment-context interpretation.	Two direct official Slovenian police project pages now support narrow claims about ORION's stated AI-assisted border-management purpose, privacy-preserving and encrypted-biometric framing, pilot-scenario testing in Romania, Bulgaria, and Slovenia, named consortium/funding context, and adjacent programme-governance detail from a same-family companion page; stronger deployment, legality, procurement, proportionality, and effectiveness interpretation still needs a row-specific procurement/register/technical companion and human review.	Look for one ORION-specific procurement/register/technical or partner-side project companion; otherwise keep this as same-family official-depth hardening below deployment proof.	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	2026-06-08T12:57:42+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	lawyer/regulator plus language review	Lawyer/source-authority review	Finland	fi	candidate	T1_single_public_source	medium	no_local_authority_refs_in_case_board_row	none	none	0	none	none	none	unesco	mixed_authority_context_insufficient	This sampled row currently depends on non-authoritative or translation-mediated public reporting without local authoritative source IDs in the case board.	Public Kaleva article shell now supports a narrow claim that a dated regional-news article exists about a police-investigation-framed AI-modified intimate-image abuse case in Finland and that visible preview text on the article page itself names several women as injured parties/victims, one middle-aged male suspect, suspicion-stage offense framing, and six crime reports; full-body chronology, exact locality naming, adjudication, and legal interpretation remain unverified.	Use the preview-text-visible direct article shell for bounded route-state and suspicion-stage framing now; seek one clearly matching public police/document companion or fuller readable public surface before any publication-bucket promotion.	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	2026-06-08T12:57:42+02:00
