sidecar_id	generated_at_utc	dashboard_export	source_row_number	row_key	dashboard_surface	manuscript_surface	source_pointer_status	source_id_or_pointer	source_url_or_path	accessed_at_status	rights_terms_status	language	jurisdiction	translation_status	denominator_scope	claim_ceiling	uncertainty_flag	reviewer_safe_reading	provenance_note	observatory_hook	action_needed_before_public_dashboard
DRPS-026	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	12	surveillance_biometrics_or_policing	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	boxed comparator on biometric governance and policing/border-control tensions	translation_caution_exposed; authority_anchor_heavy; uk_ico_plus_slovenia_triangle	taxonomy support and residual pressure; not prevalence	One of the strongest candidates for lawyer/regulator review routing Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Fundamental-rights review queue and public-authority map	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-027	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	13	research_integrity	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	count-invariant zero-seed row with sidecar shadow-package explanation	zero_seed_methods_guardrail; locally_non_empty_shadow_package	taxonomy support and residual pressure; not prevalence	Useful for thesis argument that LIMEN captures governance anomalies beyond classic safety taxonomies. Keep the count-bearing heatmap row at zero while routing readers to the bounded seven-row shadow package documented in Table 1E/source-depth artifacts. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Research-integrity dashboard slice and methods-paper examples	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-028	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	14	ai_washing_or_false_ai_claim	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	Table 1C posture ladder with settled SEC rows separated from accusation-stage hidden-human evidence	mixed_authority_with_single_public_dependence; translation_caution_exposed; sector_concentrated_finance_heavy	taxonomy support and residual pressure; not prevalence	Can support policy-brief discussion of observability and public-buying due diligence Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	AI-washing typology for procurement and market-facing visuals	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-029	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	15	normative_or_moral_outlier	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	bounded interpretive overlay spanning governance anomalies	mixed_authority_with_single_public_dependence; translation_caution_exposed; interpretive_ceiling_high	taxonomy support and residual pressure; not prevalence	Helps preserve LIMEN novelty instead of overfitting everything into legal buckets Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Normative-anomaly gallery with explicit uncertainty coding	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-030	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	16	residual_unclassified	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	methods safeguard and zero-seed heatmap row	zero_seed_methods_guardrail	taxonomy support and residual pressure; not prevalence	Critical for hostile-reviewer pass because it shows where the crosswalk cannot responsibly force conclusions Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Gap queue feeding taxonomy evolution and future figure on framework residuals	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-031	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	2	T0_discovered_lead	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-032	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	3	T1_single_public_source	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-033	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	4	T2_corroborated_record	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-034	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	5	T3_authoritative_source	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-035	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	6	T3_authoritative_source_direct_url_resolved	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-036	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	7	T4_technically_validated_record	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-037	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	8	high	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-038	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	9	medium	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-039	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	10	low	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-040	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	11	not_translation_dependent	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-041	2026-06-18T06:04:55Z	results/dashboard/evidence-funnel.tsv	12	translation_dependent	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	not_row_level_in_export__inherit_from_si_or_companion_text	not_row_level_in_export	not_row_level_in_export	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	collapsed publication-safe lineages	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.	safe_only_after_normalized_record_key_or_lineage_key_collapse	evidence maturity and proof ceilings; not truth or legal finding	not_row_level_in_export	not_row_level_in_export	add_or_join_source_pointer; join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-042	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	2	CA	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	candidate-cases.jsonl	candidate-cases.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	en	CA	human_review_needed_count=0	1	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	authoritative_sec_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-043	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	3	Denmark	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	authoritative-candidates.jsonl	authoritative-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	da	Denmark	human_review_needed_count=1	1	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.	1	visibility burden; not country ranking or readiness	authoritative_regulator_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-044	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	4	Estonia	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	multilingual-candidates.jsonl	multilingual-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	et	Estonia	human_review_needed_count=1	1	Shows current visibility surface, not prevalence or completeness.	1	visibility burden; not country ranking or readiness	local_news	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-045	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	5	Finland	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	multilingual-candidates.jsonl	multilingual-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	fi	Finland	human_review_needed_count=2	2	Shows current visibility surface, not prevalence or completeness.	2	visibility burden; not country ranking or readiness	local_news; public_broadcaster_news	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-046	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	6	France	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	authoritative-candidates.jsonl	authoritative-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	fr	France	human_review_needed_count=1	1	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.	1	visibility burden; not country ranking or readiness	authoritative_regulator_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-047	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	7	Global	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	security-agentic-candidates.jsonl	security-agentic-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English	Global	human_review_needed_count=0	5	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	security_cve_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-048	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	8	Italy	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	authoritative-candidates.jsonl	authoritative-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	it	Italy	human_review_needed_count=0	1	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	authoritative_regulator_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-049	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	9	Lithuania	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	multilingual-candidates.jsonl	multilingual-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	lt	Lithuania	human_review_needed_count=1	1	Shows current visibility surface, not prevalence or completeness.	1	visibility burden; not country ranking or readiness	news_reporting_authority_warning	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-050	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	10	Slovenia	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	multilingual-candidates.jsonl	multilingual-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	sl	Slovenia	human_review_needed_count=2	2	Shows current visibility surface, not prevalence or completeness.	2	visibility burden; not country ranking or readiness	local_news; official_police_source	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-051	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	11	US	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	candidate-cases.jsonl	candidate-cases.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	en	US	human_review_needed_count=0	2	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	authoritative_sec_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-052	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	12	United Kingdom	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	authoritative-candidates.jsonl	authoritative-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	en	United Kingdom	human_review_needed_count=0	2	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	authoritative_regulator_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-053	2026-06-18T06:04:55Z	results/dashboard/jurisdiction-language-coverage.tsv	13	United States	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	direct_row_pointer	authoritative-candidates.jsonl	authoritative-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	en	United States	human_review_needed_count=0	1	Shows current visibility surface, not prevalence or completeness.	0	visibility burden; not country ranking or readiness	authoritative_regulator_records	not_row_level_in_export	join_access_date_and_rights_terms_from_source_ledger
DRPS-054	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	2	unlawful_or_allegedly_unlawful_use	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-005; LQ-008	LQ-005; LQ-008	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	5	Impossible to conclude illegality or AI Act breach from media allegations alone	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed. || LQ-008: Current strong support remains concentrated in U.S. finance and venture-facing enforcement/charging records; the non-finance signal remains weak and the Nate row is still charging-stage rather than disposition-grade.	verification routing; not legal conclusion	LQ-005: Police/court/platform authority source, election-authority notice, securities/consumer record, or forensics/contract record tying the content to a legal process. || LQ-008: Non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition.	Legal-risk heatmap by category and evidence tier	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-055	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	3	security_risk	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-006	LQ-006	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	10	Public evidence often cannot show whether duty-to-report thresholds or formal security obligations were triggered	LQ-006: Public CVEs and advisories reveal control surfaces, but usually not deployment setting, duty holder, realized harm, or reportability threshold.	verification routing; not legal conclusion	LQ-006: Provider/deployer incident report, architectural postmortem, formal vendor bulletin keyed to the exact CVE, or reproducible public test.	Security-to-governance edge list for graph/table views	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-056	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	4	agentic_control_failure	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-006	LQ-006	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	10	Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations	LQ-006: Public CVEs and advisories reveal control surfaces, but usually not deployment setting, duty holder, realized harm, or reportability threshold.	verification routing; not legal conclusion	LQ-006: Provider/deployer incident report, architectural postmortem, formal vendor bulletin keyed to the exact CVE, or reproducible public test.	Agentic-control matrix linking case type to oversight evidence needs	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-057	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	5	institutional_absurdity	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-001; LQ-004; LQ-009	LQ-001; LQ-004; LQ-009	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	3	Often impossible to separate organizational dysfunction from AI-specific legal significance using public evidence alone	LQ-001: Regulator/news/project pages can show that an authority discussed, piloted, regulated, or responded to a system, but often do not resolve procurement route, legal basis, deployment stage, or exact public-body function. || LQ-004: Public narratives usually do not expose comparator evidence, final decision authority, appeal/redress path, or the exact decision model role. || LQ-009: Salience alone does not identify the right legal or standards framework, and several rows remain placeholders or title-level leads only.	verification routing; not legal conclusion	LQ-001: Procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement. || LQ-004: Court complaint/decree, school/employer policy, official redress record, or regulator notice text. || LQ-009: Taxonomy review memo plus stronger authoritative source package for the first residual/research-integrity case, direct-source capture for absurdity leads, or a new anchor that narrows framework fit.	Public-sector absurdity typology and dashboard filter	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-058	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	6	public_sector_misuse_or_gap	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-001; LQ-002	LQ-001; LQ-002	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	8	Public silence or incomplete procurement records cannot by themselves establish hidden prohibited or high-risk use	LQ-001: Regulator/news/project pages can show that an authority discussed, piloted, regulated, or responded to a system, but often do not resolve procurement route, legal basis, deployment stage, or exact public-body function. || LQ-002: Public material still omits underlying notice text, legal basis, operational parameters, and whether the system is proposed, piloted, or fully deployed.	verification routing; not legal conclusion	LQ-001: Procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement. || LQ-002: Underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document.	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-059	2026-06-18T06:04:55Z	results/dashboard/legal-uncertainty-matrix.tsv	7	deepfake_or_synthetic_identity	Legal uncertainty matrix	Figure 6	direct_row_pointer	LQ-005	LQ-005	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	3	Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed.	verification routing; not legal conclusion	LQ-005: Police/court/platform authority source, election-authority notice, securities/consumer record, or forensics/contract record tying the content to a legal process.	Synthetic-identity topology linking media, provenance evidence, and harm types	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
